,Title,Lyric,Age Class tag,processed_lyric,cluster
121,Lirik Lagu Bulan Madu (feat. Elvi Sukaesih) - Rhom,"pria:ke mana kita berbulan madu setelah seminggu kita kawin wanita:ho... ku mau kita ke puncak saja di sana sedap hawanya dingin pria:tepat benar pilihanmu ke puncak ku sangat setuju wanita:udara gunung yang dingin membuat suasana syahdu wanita:di sana kita kan lebih mesra memadu cinta pengantin baru pria:ho..., mari ke puncak sekarang saja di sana kita berbulan madu
",dewasa,pria ke mana kita bulan madu telah minggu kita kawin wanita ho ku mau kita ke puncak saja di sana sedap hawa dingin pria tepat benar pilih ke puncak ku sangat tuju wanita udara gunung yang dingin buat suasana syahdu wanita di sana kita kan lebih mesra madu cinta pengantin baru pria ho mari ke puncak sekarang saja di sana kita bulan madu,0
122,Lirik Lagu Cincin Kawin (feat. Elvi Sukaesih) - Rh,"pria:setelah setahun ku di negeri orang kini ku kembali tuk menemuimu tapi kecewa melihat cincin kawin di jarimu wanita:selama setahun kau di negeri orang tak pernah kuterima oh surat darimu aku mengira kau telah melupakan diriku pria:dulu kau berjanji tuk menantiku tapi mengapakah tiada kau tepati wanita:banyak ku mendengar kau telah beristeri kukira engkaulah yang mengingkari pria:rupanya kau terkena hasutan belaka wanita:maafkanlah sayang semua salahku terlalu percaya pada orang lain duet:kini hanyalah kepahitan hidup kita berdua
",dewasa,pria telah tahun ku di negeri orang kini ku kembali tuk temu tapi kecewa lihat cincin kawin di jari wanita lama tahun kau di negeri orang tak pernah terima oh surat dari aku ira kau telah lupa diri pria dulu kau janji tuk nanti tapi mengapa tiada kau tepat wanita banyak ku dengar kau telah beristeri kira engkau yang ingkar pria rupa kau kena hasut belaka wanita maaf sayang semua salah terlalu percaya pada orang lain duet kini hanya pahit hidup kita dua,3
123,Lirik Lagu Cinta Mati - Aura Kasih,"selamanya kau telah pergi tingalkan ku sisakan pedih di hatiku ini dan kini ku sendiri mengenangmu tak ada lagi yang selalu ku nanti dan aku takkan pernah percaya dan aku takkan mampu percaya kau telah tiada kaulah cinta matiku kini kau pergi tinggalkanku sendiri tanpa cintamu lagi kaulah cinta matiku dan ku ingin kau tuk kembali jangan pergi ku tak mau begini
",dewasa,lama kau telah pergi tingalkan ku sisa pedih di hati ini dan kini ku sendiri kenang tak ada lagi yang selalu ku nanti dan aku tak pernah percaya dan aku tak mampu percaya kau telah tiada kau cinta mati kini kau pergi tinggal sendiri tanpa cinta lagi kau cinta mati dan ku ingin kau tuk kembali jangan pergi ku tak mau begini,3
124,Lirik Lagu Cinta Satu Malam - Melinda,walau cinta kita sementara aku merasa bahagia kalau kau kecup mesra di keningku ku rasa bagai di surga cinta satu malam oh indahnya cinta satu malam buatku melayang walau satu malam akan selalu ku kenang dalam hidupku cinta satu malam oh indahnya cinta satu malam buatku melayang walau satu malam akan selalu ku kenang selama-lamanya sentuhanmu membuatku terlena aku telah terbuai mesra yang ku rasa hangat indahnya cinta hasratku kian membara,dewasa,walau cinta kita sementara aku rasa bahagia kalau kau kecup mesra di kening ku rasa bagai di surga cinta satu malam oh indah cinta satu malam buat layang walau satu malam akan selalu ku kenang dalam hidup cinta satu malam oh indah cinta satu malam buat layang walau satu malam akan selalu ku kenang lama sentuh buat lena aku telah buai mesra yang ku rasa hangat indah cinta hasrat kian bara,1
125,Lirik Lagu Ciuman Pertama - Ungu,ciuman pertama baru kusadari kita beranjak dewasa tak pernah kualami kasih cinta seperti ini seperti iniãƒâ¢ã¢â€šâ¬ã‚â¦..seperti iniãƒâ¢ã¢â€šâ¬ã‚â¦..ku coba untuk pahami cinta apa di hatimu agar ku mencintaimu untuk selamanyaãƒâ¢ã¢â€šâ¬ã‚â¦.untuk selamanyaãƒâ¢ã¢â€šâ¬ã‚â¦.berikan aku ciuman pertamamu agar kuyakin kau memang miliku kau mungkin bukan cinta pertamaku namun kau pastiãƒâ¢ã¢â€šâ¬ã‚â¦ãƒâ¢ã¢â€šâ¬ã‚â¦.. namun kau pasti cinta terakhirku pasti kutahu memang kau yang terbaik untukku cintaku bukan lah cinta terlarang untuk kau mengerti kau mengertiãƒâ¢ã¢â€šâ¬ã‚â¦berikan aku ciuman pertamamu agar kuyakinãƒâ¢ã¢â€šâ¬ã‚â¦.kau memanglah miliku kau mungkin bukanlah cinta pertamaku namun kau pastiãƒâ¢ã¢â€šâ¬ã‚â¦ namun kau pastiãƒâ¢ã¢â€šâ¬ã‚â¦ berikan aku ciuman pertamamu agar kuyakin kau memang lah miliku kau mungkin bukanlah cinta pertamaku namun kau pastiãƒâ¢ã¢â€šâ¬ã‚â¦ namun kau pasti cinta terakhirkuãƒâ¢ã¢â€šâ¬ã‚â¦,dewasa,cium pertama baru sadar kita anjak dewasa tak pernah alam kasih cinta seperti ini seperti ini seperti ini ku coba untuk paham cinta apa di hati agar ku cinta untuk lama untuk lama ikan aku cium pertama agar yakin kau memang mil kau mungkin bukan cinta pertama namun kau pasti namun kau pasti cinta akhir pasti tahu memang kau yang baik untuk cinta bukan lah cinta larang untuk kau erti kau erti ikan aku cium pertama agar yakin kau memang mil kau mungkin bukan cinta pertama namun kau pasti namun kau pasti ikan aku cium pertama agar yakin kau memang lah mil kau mungkin bukan cinta pertama namun kau pasti namun kau pasti cinta akhir,3
126,Lirik Lagu Cukup Siti Nurbaya - Dewa 19,"oh.. masih ada, belenggu ruang cinta meresap kini, di dinding zaman mencoba-coba kikis naluri agitasi murahan yang ada lagi mohon acuhkan palingkan muka oh.. memang dunia, buramkan satu logika seolah-olah, hidup kita ini,hanya ternilai sebatas rupiah dengarkan manusia yang terasah falsafah sesaat katanya itu bukan dogma katakan.. pada mama cinta bukan hanya harta dan tahta pastikan pada semua hanya cinta yang sejukkan dunia (bukan itu mama.. bukan itu papa) oh.. cukup siti nurbaya yang mengalami pahitnya dunia hidupku kamu, dan mereka semua takkan ada yang dapat memaksakan jalan hidup yang kan tertempuh pastikan rasa semua (pastikan pada semua)hanya cinta yang sejukkan dunia katakan!! pada mama cinta bukan hanya harta dan tahta (bukan harta tahta)pastikan pada semua (pastikan! pada semua)hanya cinta yang sejukkan dunia (cinta sejukkan dunia)bukan itu mama - bukan itu papa bukan itu mama - bukan itu papa (bukan itu kan)
",dewasa,oh masih ada belenggu ruang cinta resap kini di dinding zaman coba kikis naluri agitasi murah yang ada lagi mohon acuh paling muka oh memang dunia buram satu logika olah hidup kita ini hanya nilai batas rupiah dengar manusia yang asah falsafah saat kata itu bukan dogma kata pada mama cinta bukan hanya harta dan tahta pasti pada semua hanya cinta yang sejuk dunia bukan itu mama bukan itu papa oh cukup siti nurbaya yang alami pahit dunia hidup kamu dan mereka semua tak ada yang dapat paksa jalan hidup yang kan tempuh pasti rasa semua pasti pada semua hanya cinta yang sejuk dunia kata pada mama cinta bukan hanya harta dan tahta bukan harta tahta pasti pada semua pasti pada semua hanya cinta yang sejuk dunia cinta sejuk dunia bukan itu mama - bukan itu papa bukan itu mama - bukan itu papa bukan itu kan,1
127,Lirik Lagu Digoda - 2 Racun,"mak aku selalu digoda digoda digoda dia mak aku selalu dirayu dirayu dirayu dia hatikuãƒâ¢ã¢â€šâ¬ã‚â¦ jadinya mak tak berdaya ku jatuh cinta bunga asmara semakin berseri-seri gelora semakin menjadi-jadi aku suka dia mak, terbuai cintanya aku pun terlena mak, terbuai cintanya mak aku selalu digoda siapa dapat menduga cinta tiada bermata ku terbuai rayunya hingga ku jadi miliknya sekeras-kerasnya batu tidak sekeras hatiku kini ku dirundung rindu, ku selalu mendambakanmu akhirnya ku jadi kekasihmu, mak aku selalu digoda mak aku selalu digoda digoda digoda dia mak aku selalu dirayu dirayu dirayu dia hatikuãƒâ¢ã¢â€šâ¬ã‚â¦ jadinya mak tak berdaya ku jatuh cinta bunga asmara semakin berseri-seri gelora semakin menjadi-jadi aku suka dia mak, terbuai cintanya aku pun terlena mak, terbuai cintanya mak aku selalu digoda siapa dapat menduga cinta tiada bermata ku terbuai rayunya hingga ku jadi miliknya sekeras-kerasnya batu tidak sekeras hatiku kini ku dirundung rindu, ku selalu mendambakanmu akhirnya ku jadi kekasihmu, mak aku selalu digoda",dewasa,mak aku selalu goda goda goda dia mak aku selalu rayu rayu rayu dia hati jadi mak tak daya ku jatuh cinta bunga asmara makin seri gelora makin jadi aku suka dia mak buai cinta aku pun lena mak buai cinta mak aku selalu goda siapa dapat duga cinta tiada mata ku buai rayu hingga ku jadi milik keras batu tidak keras hati kini ku rundung rindu ku selalu damba akhir ku jadi kasih mak aku selalu goda mak aku selalu goda goda goda dia mak aku selalu rayu rayu rayu dia hati jadi mak tak daya ku jatuh cinta bunga asmara makin seri gelora makin jadi aku suka dia mak buai cinta aku pun lena mak buai cinta mak aku selalu goda siapa dapat duga cinta tiada mata ku buai rayu hingga ku jadi milik keras batu tidak keras hati kini ku rundung rindu ku selalu damba akhir ku jadi kasih mak aku selalu goda,1
128,Lirik Lagu Emang Dasar - Wali Band,aku tahu kamu kamu seorang bajingan aku tahu kamu kau banyak jurus andalan matamu stereo lihat ke kiri ke kanan apalagi menawan pasti bakal kebobolan tapi ada satu hal yang harus kamu tahu wanita juga tak mau bila terus terus kau tipu satu pasangan tak cukup dua simpanan juga tak cukup (emang dasar ah emang dasar)eh dasar kamu bajingan kamu mau apalagi kamu mau yang gimana lagi (ah emang dasar emang dasar)eh dasar kamu bajingan tapi ada satu hal yang harusnya kamu tahu wanita juga tak mau bila terus terus kau tipu satu pasangan tak cukup dua simpanan juga tak cukup emang dasar emang dasar eh dasar kamu bajingan kamu mau apalagi kamu mau yang gimana lagi emang dasar emang dasar eh dasar kamu bajingan satu pasangan tak cukup dua simpanan juga tak cukup emang dasar emang dasar eh dasar kamu bajingan,dewasa,aku tahu kamu kamu orang bajing aku tahu kamu kau banyak jurus andal mata stereo lihat ke kiri ke kanan apalagi tawan pasti bakal bobol tapi ada satu hal yang harus kamu tahu wanita juga tak mau bila terus terus kau tipu satu pasang tak cukup dua simpan juga tak cukup emang dasar ah emang dasar eh dasar kamu bajing kamu mau apalagi kamu mau yang gimana lagi ah emang dasar emang dasar eh dasar kamu bajing tapi ada satu hal yang harus kamu tahu wanita juga tak mau bila terus terus kau tipu satu pasang tak cukup dua simpan juga tak cukup emang dasar emang dasar eh dasar kamu bajing kamu mau apalagi kamu mau yang gimana lagi emang dasar emang dasar eh dasar kamu bajing satu pasang tak cukup dua simpan juga tak cukup emang dasar emang dasar eh dasar kamu bajing,2
129,Lirik Lagu Gadis Bukan Perawan - Lynda MoyMoy,"aku hanyalah wanita biasa berbuat salah khilaf dan dosa karena cinta hatiku terlena aku ternoda terbuai mesra aku gadis tapi bukan perawan keperawananku sudah hilang gara-gara pacaran sering mesra-mesraan tapi untung gak hamil duluan aku gadis tapi bukan perawan keperawananku sudah hilang gara-gara pacaran sering mesra-mesraan tapi untung gak hamil duluan makanya pacaran harus ada batasan makanya pacaran jangan sampai kelewatan aku hanyalah wanita biasa berbuat salah khilaf dan dosa karena cinta hatiku terlena aku ternoda terbuai mesra aku gadis tapi bukan perawan keperawananku sudah hilang gara-gara pacaran sering mesra-mesraan tapi untung gak hamil duluan aku gadis tapi bukan perawan keperawananku sudah hilang gara-gara pacaran sering mesra-mesraan tapi untung gak hamil duluan makanya pacaran harus ada batasan makanya pacaran jangan sampai kelewatan
",dewasa,aku hanya wanita biasa buat salah khilaf dan dosa karena cinta hati lena aku noda buai mesra aku gadis tapi bukan perawan perawan sudah hilang gara-gara pacar sering mesra tapi untung gak hamil duluan aku gadis tapi bukan perawan perawan sudah hilang gara-gara pacar sering mesra tapi untung gak hamil duluan makanya pacar harus ada batas makanya pacar jangan sampai lewat aku hanya wanita biasa buat salah khilaf dan dosa karena cinta hati lena aku noda buai mesra aku gadis tapi bukan perawan perawan sudah hilang gara-gara pacar sering mesra tapi untung gak hamil duluan aku gadis tapi bukan perawan perawan sudah hilang gara-gara pacar sering mesra tapi untung gak hamil duluan makanya pacar harus ada batas makanya pacar jangan sampai lewat,2
130,Lirik Lagu Gelisah - 2 Racun Youbi Sister,"gelisah karena kamu galau ku karena kamu, karena kamu sayang laki-laki ku mau mau dicumbu kamu dengan penuh kehangatan sentuhanmu kian membara, aku terbuai mesra yang ku rasa hangatnya cinta kau membuatku tergoda ku makin menggila ingin rasanya diriku selalu bersama galauku karena kamu gelisah karena kamu, galau ku karena kamu sentuhanmu membuatku semakin rindu gelisah karena kamu, galauku karena kamu sentuhanmu membuatku makin menggebu sayang laki-laki ku mau mau dicumbu kamu dengan penuh kehangatan sentuhanmu kian membara, aku terbuai mesra yang ku rasa hangatnya cinta kau membuatku tergoda ku makin menggila ingin rasanya diriku selalu bersama gelisah karena kamu, galauku karena kamu sentuhanmu membuatku semakin rindu gelisah karena kamu, galau ku karena kamu sentuhanmu membuat ku makin menggebu gelisah karena kamu, galau ku karena kamu sentuhanmu membuatku semakin rindu gelisah karena kamu, galau ku karena kamu sentuhanmu membuatku makin menggebu sayang laki-laki ku mau mau dicumbu kamu dengan penuh kehangatan sentuhanmu kian membara, aku terbuai mesra yang ku rasa hangatnya cinta kau membuatku tergoda ku makin menggila ingin rasanya diriku selalu bersama gelisah karena kamu, galau ku karena kamu sentuhanmu membuatku semakin rindu gelisah karena kamu, galau ku karena kamu sentuhanmu membuatku makin menggebu gelisah karena kamu, galau ku karena kamu sentuhanmu membuatku semakin rindu gelisah karena kamu, galauku karena kamu sentuhanmu membuatku makin menggebu gelisah karena kamu, galauku karena kamu",dewasa,gelisah karena kamu galau ku karena kamu karena kamu sayang laki ku mau mau cumbu kamu dengan penuh hangat sentuh kian bara aku buai mesra yang ku rasa hangat cinta kau buat goda ku makin gila ingin rasa diri selalu sama galau karena kamu gelisah karena kamu galau ku karena kamu sentuh buat makin rindu gelisah karena kamu galau karena kamu sentuh buat makin gebu sayang laki ku mau mau cumbu kamu dengan penuh hangat sentuh kian bara aku buai mesra yang ku rasa hangat cinta kau buat goda ku makin gila ingin rasa diri selalu sama gelisah karena kamu galau karena kamu sentuh buat makin rindu gelisah karena kamu galau ku karena kamu sentuh buat ku makin gebu gelisah karena kamu galau ku karena kamu sentuh buat makin rindu gelisah karena kamu galau ku karena kamu sentuh buat makin gebu sayang laki ku mau mau cumbu kamu dengan penuh hangat sentuh kian bara aku buai mesra yang ku rasa hangat cinta kau buat goda ku makin gila ingin rasa diri selalu sama gelisah karena kamu galau ku karena kamu sentuh buat makin rindu gelisah karena kamu galau ku karena kamu sentuh buat makin gebu gelisah karena kamu galau ku karena kamu sentuh buat makin rindu gelisah karena kamu galau karena kamu sentuh buat makin gebu gelisah karena kamu galau karena kamu,1
131,Lirik Lagu Goyang Kamasutra - Julia Perez,ayo abang ayo digoyang mau jurus ngebor atau jurus patah patah kita bergoyang sambil berdendang aduh nikmatnya bukan kepalang goyang sih goyang jangan sampai kepeleset bang kalau jatuh pasti sakit bang makanya pakai sutranya donk ikuti irama gendang berdendang musiknya asyik hati tambah riang abang sayang asik bergoyang jangan lupa sutranya bang...,dewasa,ayo abang ayo goyang mau jurus ngebor atau jurus patah patah kita goyang sambil dendang aduh nikmat bukan kepalang goyang sih goyang jangan sampai peleset bang kalau jatuh pasti sakit bang makanya pakai sutra donk ikut irama gendang dendang musik asyik hati tambah riang abang sayang asik goyang jangan lupa sutra bang,2
132,Lirik Lagu Begitu Indah - Padi,bila cinta menggugah rasa begitu indah mengukir hatiku menyentuh jiwaku hapuskan semua gelisah duhai cintaku duhai pujaanku datang padaku tetap di sampingku ku ingin hidupku selalu dalam peluknya terang saja aku menantinya terang saja aku mendambanya terang saja aku merindunya karena dia karena dia begitu indah duhai cintaku pujaan hatiku peluk diriku dekaplah jiwaku bawa ragaku melayang memeluk bintang terang saja aku menantinya terang saja aku mendambanya terang saja aku merindunya karena dia karena dia begitu indah,dewasa,bila cinta gugah rasa begitu indah ukir hati sentuh jiwa hapus semua gelisah duhai cinta duhai puja datang pada tetap di samping ku ingin hidup selalu dalam peluk terang saja aku nanti terang saja aku damba terang saja aku rindu karena dia karena dia begitu indah duhai cinta puja hati peluk diri dekap jiwa bawa raga layang peluk bintang terang saja aku nanti terang saja aku damba terang saja aku rindu karena dia karena dia begitu indah,0
133,Lirik Lagu Hamil Duluan - Tuty Wibowo,awalnya aku cium-ciuman akhirnya aku peluk-pelukan tak sadar aku dirayu setan tak sadar aku ku kebablasan ku hamil duluan sudah tiga bulan gara-gara pacaran tidurnya berduaan ku hamil duluan sudah tiga bulan gara-gara pacaran suka gelap-gelapan o ow aku hamil duluan o ow sudah tiga bulan,dewasa,awal aku cium akhir aku peluk tak sadar aku rayu setan tak sadar aku ku bablas ku hamil duluan sudah tiga bulan gara-gara pacar tidur dua ku hamil duluan sudah tiga bulan gara-gara pacar suka gelap o ow aku hamil duluan o ow sudah tiga bulan,0
134,Lirik Lagu Harta Cinta - Aura Kasih,"harta cintakau datang padaku dengan membawa cinta datang padaku dengan sejuta rasa coba merayu dengan segala cara tapi ku wanita, wanita biasa bukan hanya cinta apa yang ku minta memang jujur saja ku butuh yang lainnya harta, cinta itu yang ku mau harta, cinta itu yang ku ingin maaf, jika ku banyak meminta aku cuma wanita biasa kau punya apa? mobil, uang, rumah dan lain kau punya apa? sayang, cinta dan segalanya",dewasa,harta cintakau datang pada dengan bawa cinta datang pada dengan juta rasa coba rayu dengan segala cara tapi ku wanita wanita biasa bukan hanya cinta apa yang ku minta memang jujur saja ku butuh yang lain harta cinta itu yang ku mau harta cinta itu yang ku ingin maaf jika ku banyak minta aku cuma wanita biasa kau punya apa mobil uang rumah dan lain kau punya apa sayang cinta dan segala,1
135,Lirik Lagu Ingin Menikah - BBB,"hujan datang di siang terang pertanda baik atau malah sebaiknya hati hampa lama sendiri walaupun ada, cinta tak bertahan lama ku ingin menikah seperti yang lain bukankah cinta itu hak semua insan kapankah cinta datang menyunting hatiku datanglah oh cinta, aku ingin menikah hampa hati lama sendiri walaupun ada, cinta tak bertahan lama ku ingin menikah seperti yang lain bukankah cinta itu hak semua insan kapankah cinta datang menyunting hatiku datanglah oh cinta, aku ingin menikah ku ingin menikah seperti yang lain bukankah cinta itu hak semua insan kapankah cinta datang menyunting hatiku datanglah oh cinta, aku ingin menikah",dewasa,hujan datang di siang terang tanda baik atau malah baik hati hampa lama sendiri walaupun ada cinta tak tahan lama ku ingin meni seperti yang lain bukankah cinta itu hak semua insan kapan cinta datang sunting hati datang oh cinta aku ingin meni hampa hati lama sendiri walaupun ada cinta tak tahan lama ku ingin meni seperti yang lain bukankah cinta itu hak semua insan kapan cinta datang sunting hati datang oh cinta aku ingin meni ku ingin meni seperti yang lain bukankah cinta itu hak semua insan kapan cinta datang sunting hati datang oh cinta aku ingin meni,1
136,Lirik Lagu Izinkan Aku Mendua - Geisha,"kini ku larut dilema jebakan asmara dimana kini ku rasa adanya antara kalian berdua semua ku rasa cintamu cintanya daripada ku berdusta lebih baik ku bertanya bolehkah aku mendua jujurku berkata kalian berdua semua ku rasa hatimu hatinya semua berharga untuk cinta izinkan aku mendekatinya sayang meski ku tau ini gila untukmu izinkan aku mencintainya sayang karena dia juga merebut hatiku menikah saja wajar kedua kali mengapa tidak pacaran semua berharga untuk cinta izinkan aku mendekatinya sayang meski ku tau ini gila untukmu izinkan aku mencintainya sayang karena dia juga merebut hatiku pacaran....pacaran....
",dewasa,kini ku larut dilema jebak asmara mana kini ku rasa ada antara kalian dua semua ku rasa cinta cinta daripada ku dusta lebih baik ku tanya boleh aku dua jujur kata kalian dua semua ku rasa hati hati semua harga untuk cinta izin aku dekat sayang meski ku tau ini gila untuk izin aku cinta sayang karena dia juga rebut hati meni saja wajar dua kali mengapa tidak pacar semua harga untuk cinta izin aku dekat sayang meski ku tau ini gila untuk izin aku cinta sayang karena dia juga rebut hati pacar pacar,1
137,Lirik Lagu Jablay - Tuty Wibowo,"waktu tamasya ke binaria pulang-pulang ku berbadan dua meski tanpa restu orang tua, sayang aku rela abang bawa pulang nggak kerasa udah setaun si abang mulai berlagak pikun udah nggak pernah pulang ke rumah, sayang kepincut janda di pulau la lai la lai la lai panggil aku si jablai abang jarang pulang aku jarang dibelai anak kita sekarang udah besar mulai bingung kok bapaknya nyasar kenapa bapak nggak pulang-pulang, emak kata tetangga emangnya enak anak kita sekarang udah besar mulai bingung kok bapaknya nyasar kenapa bapak nggak pulang-pulang, emak kata tetangga emangnya enak",dewasa,waktu tamasya ke binaria pulang ku badan dua meski tanpa restu orang tua sayang aku rela abang bawa pulang nggak rasa udah taun si abang mulai lagak pikun udah nggak pernah pulang ke rumah sayang kepincut janda di pulau la lai la lai la lai panggil aku si jablai abang jarang pulang aku jarang belai anak kita sekarang udah besar mulai bingung kok bapak nyasar kenapa bapak nggak pulang emak kata tetangga emang enak anak kita sekarang udah besar mulai bingung kok bapak nyasar kenapa bapak nggak pulang emak kata tetangga emang enak,2
138,Lirik Lagu Akad - Payung Teduh,betapa bahagianya hatiku saat ku duduk berdua denganmu berjalan bersamamu menarilah denganku namun bila hari ini adalah yang terakhir namun ku tetap bahagia selalu ku syukuri begitulah adanya namun bila kau ingin sendiri cepat cepatlah sampaikan kepadaku agar ku tak berharap dan buat kau bersedih bila nanti saatnya t'lah tiba ku ingin kau menjadi istriku berjalan bersamamu dalam terik dan hujan berlarian kesana-kemari dan tertawa namun bila saat berpisah t'lah tiba izinkan ku menjaga dirimu berdua menikmati pelukan di ujung waktu sudilah kau temani diriku namun bila kau ingin sendiri cepat cepatlah sampaikan kepadaku agar ku tak berharap dan buat kau bersedih bila nanti saatnya t'lah tiba ku ingin kau menjadi istriku berjalan bersamamu dalam terik dan hujan berlarian kesana-kemari dan tertawa namun bila saat berpisah t'lah tiba izinkanku menjaga dirimu berdua menikmati pelukan di ujung waktu sudilah kau temani diriku sudilah kau menjadi temanku sudilah kau menjadi istriku,dewasa,betapa bahagia hati saat ku duduk dua dengan jalan sama tar dengan namun bila hari ini adalah yang akhir namun ku tetap bahagia selalu ku syukur begitu ada namun bila kau ingin sendiri cepat cepat sampai kepada agar ku tak harap dan buat kau sedih bila nanti saat t lah tiba ku ingin kau jadi istri jalan sama dalam terik dan hujan lari kesana-kemari dan tertawa namun bila saat pisah t lah tiba izin ku jaga diri dua nikmat peluk di ujung waktu sudi kau teman diri namun bila kau ingin sendiri cepat cepat sampai kepada agar ku tak harap dan buat kau sedih bila nanti saat t lah tiba ku ingin kau jadi istri jalan sama dalam terik dan hujan lari kesana-kemari dan tertawa namun bila saat pisah t lah tiba izin jaga diri dua nikmat peluk di ujung waktu sudi kau teman diri sudi kau jadi teman sudi kau jadi istri,3
139,Lirik Lagu Janda Kembang (feat. Elvi Sukaesih) - R,"wanita:bang, bang, sini dong, bang tolong antar ke rumahku aku takut sendirian pria:hai, hai, rupanya kau bukan telah bersuami bulan lalu baru kawin pria:mengapa tak dengan suamimu wanita:minggu yang lalu kami bercerai pria:apa kiranya yang terjadi wanita:kurasa dia bukan jodohku pria:hai, hai wanita:hm, hm pria:kau janda wanita:ya, ya pria:hai, hai, sudikah kau kalau aku meminangmu bulan depan kita kawin wanita:bang, bang, aku malu masih banyak anak gadis mengapa kau cari janda",dewasa,wanita bang bang sini dong bang tolong antar ke rumah aku takut sendiri pria hai hai rupa kau bukan telah suam bulan lalu baru kawin pria mengapa tak dengan suami wanita minggu yang lalu kami cerai pria apa kira yang jadi wanita rasa dia bukan jodoh pria hai hai wanita hm hm pria kau janda wanita ya ya pria hai hai sudi kau kalau aku pinang bulan depan kita kawin wanita bang bang aku malu masih banyak anak gadis mengapa kau cari janda,2
140,Lirik Lagu Janda Perjaka - Hati Band,"kamu janda, aku perjaka kalau cinta soal hati kamu suka, aku cinta sudahlah jalani saja kamu janda, aku perjaka kalau cinta soal hati kamu suka, aku cinta sudahlah jalani saja aku tak akan pernah peduli orang bilang tak suka karena cintaku telah terkunci tak pernah ke lain hati biarpun kamu janda tetap aku cinta biarpun orang berkata apa tetap aku cinta biarpun kamu janda tapi janda muda biarpun aku perjaka tapi aku sangat suka aku tak akan pernah peduli orang bilang tak suka karena cintaku telah terkunci tak pernah ke lain hati biarpun kamu janda tetap aku cinta biarpun orang berkata apa tetap aku cinta biarpun kamu janda tapi janda muda biarpun aku perjaka tapi aku sangat suka biarpun kamu janda tetap aku cinta biarpun orang berkata apa tetap aku cinta biarpun kamu janda tapi janda muda biarpun aku perjaka tapi aku sangat suka",dewasa,kamu janda aku perjaka kalau cinta soal hati kamu suka aku cinta sudah jalan saja kamu janda aku perjaka kalau cinta soal hati kamu suka aku cinta sudah jalan saja aku tak akan pernah peduli orang bilang tak suka karena cinta telah kunci tak pernah ke lain hati biarpun kamu janda tetap aku cinta biarpun orang kata apa tetap aku cinta biarpun kamu janda tapi janda muda biarpun aku perjaka tapi aku sangat suka aku tak akan pernah peduli orang bilang tak suka karena cinta telah kunci tak pernah ke lain hati biarpun kamu janda tetap aku cinta biarpun orang kata apa tetap aku cinta biarpun kamu janda tapi janda muda biarpun aku perjaka tapi aku sangat suka biarpun kamu janda tetap aku cinta biarpun orang kata apa tetap aku cinta biarpun kamu janda tapi janda muda biarpun aku perjaka tapi aku sangat suka,2
141,Lirik Lagu Jangan Bilang Siapa Siapa - Aura Kasih,jangan bilang siapa-siapa kita sedang bercinta ini semua rahasia di antara kita berdua karena kamu dan aku sudah ada yang punya aku tak ingin mereka jadi sakit hatinya bila kau benar-benar sayang padaku bila kau benar-benar cinta kita jalani saja semuanya jangan banyak bertanya bila kau benar-benar sayang padaku bila kau benar-benar cinta sudah tutup saja mulutmu itu jangan bilang siapa-siapa taukah di dalam hatiku hanya ada dirimu yang selalu merindukanmu saat kau bersamanya karena kamu dan aku sudah ada yang punya aku tak ingin mereka jadi sakit hatinya,dewasa,jangan bilang siapa kita sedang cinta ini semua rahasia di antara kita dua karena kamu dan aku sudah ada yang punya aku tak ingin mereka jadi sakit hati bila kau benar sayang pada bila kau benar cinta kita jalan saja semua jangan banyak tanya bila kau benar sayang pada bila kau benar cinta sudah tutup saja mulut itu jangan bilang siapa tau di dalam hati hanya ada diri yang selalu rindu saat kau sama karena kamu dan aku sudah ada yang punya aku tak ingin mereka jadi sakit hati,3
